id,name
0,Авиастроительная
1,Аметьево
2,Горки
3,Дубравная
4,Козья слобода
5,Кремлёвская
6,Не указано
7,Площадь Тукая
8,Проспект Победы
9,Северный Вокзал
10,Суконная слобода
11,Яшьлек
